"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-01-01",,,,,"0.74",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-01-10",,,,,"0.00","0.0","0.0",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-01-13",,,,,"0.38","4.5","4.3",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-01-14",,,,,"0.25","2.5","6.5",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-01-18",,,,,"0.13","1.5",,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-01-20",,,,,"1.30","0.0","1.0",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-01-24",,,,,"0.19",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-01-30",,,,,"0.16","2.1","2.1",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-02-08",,,,,"0.02",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-02-11",,,,,"0.32","1.0","1.0",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-02-12",,,,,"0.64",,"0.5",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-02-18",,,,,"0.72",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-02-24",,,,,"0.65",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-03-01",,,,,"0.19","1.7","1.7",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-03-02",,,,,"0.48",,"1.0",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-03-04",,,,,"0.61",,"1.0",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-03-21",,,,,"0.09",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-03-22",,,,,"2.97",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-03-31",,,,,"0.06",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-06",,,,,"0.08",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-09",,,,,"0.10",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-13",,,,,"1.55",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-14",,,,,"0.01",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-15",,,,,"0.25",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-20",,,,,"0.33",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-25",,,,,"0.00",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-26",,,,,"0.32",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-27",,,,,"0.27",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-04-28",,,,,"0.02",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-05",,,,,"0.83",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-06",,,,,"0.82",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-11",,,,,"1.16",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-12",,,,,"0.58",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-13",,,,,"0.51",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-14",,,,,"0.90",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-16",,,,,"0.05",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-18",,,,,"0.02",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-19",,,,,"1.16",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-24",,,,,"0.08",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-25",,,,,"0.00","0.0",,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-26",,,,,"0.18",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-28",,,,,"0.31",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-30",,,,,"0.26",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-05-31",,,,,"0.60",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-10",,,,,"0.03",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-11",,,,,"0.28",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-13",,,,,"0.73",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-15",,,,,"0.00",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-17",,,,,"0.21",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-18",,,,,"0.01",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-19",,,,,"0.03",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-20",,,,,"0.31",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-21",,,,,"0.03",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-25",,,,,"0.44",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-06-30",,,,,"0.24",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-07-03",,,,,"0.43",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-07-04",,,,,"0.02",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-07-05",,,,,"0.13",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-07-07",,,,,"0.59",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-07-12",,,,,"0.27",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-07-18",,,,,"0.23",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-07-22",,,,,"0.67",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-04",,,,,"0.01",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-07",,,,,"0.00",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-08",,,,,"1.39",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-14",,,,,"1.72",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-15",,,,,"0.02",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-19",,,,,"0.66",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-21",,,,,"0.01",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-23",,,,,"0.62",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-24",,,,,"0.36",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-28",,,,,"0.02",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-08-29",,,,,"0.58",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-09-02",,,,,"0.02",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-09-13",,,,,"0.03",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-10-01",,,,,"0.25",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-10-07",,,,,"0.06",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-10-08",,,,,"0.16",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-10-17",,,,,"1.14",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-10-21",,,,,"0.40",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-10-22",,,,,"0.01",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-10-23",,,,,"0.38",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-10-27",,,,,"0.67",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-11-01",,,,,"2.66",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-11-08",,,,,"0.18",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-11-12",,,,,"0.20",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-11-13",,,,,"0.00","0.0",,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-11-24",,,,,"0.84",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-12-01",,,,,"0.02",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-12-02",,,,,"0.58",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-12-03",,,,,"0.04",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-12-04",,,,,"0.06","0.3","0.5",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-12-14",,,,,"0.49",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-12-15",,,,,"0.28",,,,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-12-16",,,,,"0.13","1.4","1.5",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-12-17",,,,,"0.62","0.0","0.5",,,,,,,,,,,
"US1MDCR0003","MOUNT AIRY 0.2 SE, MD US","2019-12-18",,,,,"0.04",,,,,,,,,,,,,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2019-01-01",,,,,"0.59",,,,,,,,,,,,,
