DATE,TEMP,PRCP,SNOW,WIND,CRIMES,ARRESTS
2019-01-01,31.0,0.01,0.1,7.61,1012,199
2019-01-02,28.0,0.01,0.1,8.72,650,144
2019-01-03,29.0,0.0,0.0,11.63,751,143
2019-01-04,37.0,0.0,0.0,8.05,765,190
2019-01-05,39.0,0.0,0.0,8.28,790,207
2019-01-06,38.0,0.0,0.0,11.63,663,161
2019-01-07,44.0,0.44,0.0,15.66,674,142
2019-01-08,41.0,0.0,0.0,14.54,700,136
2019-01-09,23.0,0.0,0.0,13.65,629,144
2019-01-10,18.0,0.0,0.0,4.47,684,152
2019-01-11,23.0,0.0,0.0,4.92,784,192
2019-01-12,30.0,0.12,2.2,11.41,669,167
2019-01-13,30.0,0.01,0.3,12.53,572,158
2019-01-14,25.0,0.0,0.0,8.28,635,146
2019-01-15,26.0,0.0,0.0,11.18,695,162
2019-01-16,31.0,0.0,0.0,9.4,699,157
2019-01-17,30.0,0.0,0.0,5.59,651,154
2019-01-18,30.0,0.12,1.3,10.51,666,150
2019-01-19,26.0,0.18,3.7,20.13,519,119
2019-01-20,12.0,0.0,0.0,13.42,493,118
2019-01-21,9.0,0.0,0.1,8.5,555,128
2019-01-22,19.0,0.18,0.5,9.4,623,152
2019-01-23,29.0,0.22,1.0,9.84,660,185
2019-01-24,17.0,0.0,0.4,11.63,605,136
2019-01-25,1.0,0.03,0.7,9.4,584,139
2019-01-26,2.0,0.06,1.7,5.82,530,126
2019-01-27,4.0,0.0,0.0,6.93,522,118
2019-01-28,18.0,0.53,5.0,12.75,521,108
2019-01-29,6.0,0.0,0.3,14.54,492,99
2019-01-30,-15.0,0.0,0.0,15.21,341,64
2019-01-31,-15.0,0.05,0.8,6.26,458,80
2019-02-01,7.0,0.02,0.9,5.14,748,162
2019-02-02,26.0,0.0,0.0,11.18,721,162
2019-02-03,42.0,0.0,0.0,10.07,592,129
2019-02-04,47.0,0.05,0.0,11.41,732,136
2019-02-05,29.0,0.31,0.0,9.4,651,151
2019-02-06,33.0,0.01,0.0,8.5,635,153
2019-02-07,36.0,0.71,0.0,12.97,670,138
2019-02-08,11.0,0.0,0.0,17.67,642,141
2019-02-09,12.0,0.0,0.0,5.82,755,201
2019-02-10,23.0,0.04,0.7,6.93,638,140
2019-02-11,28.0,0.19,0.1,12.3,623,154
2019-02-12,32.0,0.35,1.5,13.65,664,164
2019-02-13,18.0,0.01,0.6,12.75,642,162
2019-02-14,36.0,0.0,0.0,10.51,741,169
2019-02-15,23.0,0.0,0.0,12.53,737,164
2019-02-16,19.0,0.0,0.0,8.95,676,146
2019-02-17,25.0,0.2,3.1,11.18,617,137
2019-02-18,25.0,0.06,1.8,7.61,589,135
2019-02-19,22.0,0.0,0.0,4.7,607,126
2019-02-20,31.0,0.09,0.2,13.87,630,138
2019-02-21,31.0,0.0,0.0,10.74,696,150
2019-02-22,29.0,0.0,0.0,7.61,707,163
2019-02-23,36.0,0.75,0.0,10.29,645,149
2019-02-24,37.0,0.02,0.0,24.38,546,144
2019-02-25,12.0,0.0,0.0,10.51,595,137
2019-02-26,17.0,0.0,0.1,12.53,606,134
2019-02-27,25.0,0.0,0.0,10.07,647,159
2019-02-28,18.0,0.0,0.0,4.47,591,131
2019-03-01,27.0,0.0,0.0,5.82,740,164
2019-03-02,29.0,0.0,0.0,8.5,661,169
2019-03-03,22.0,0.0,0.0,12.08,551,115
2019-03-04,5.0,0.0,0.0,14.99,543,127
2019-03-05,12.0,0.0,0.2,15.43,539,123
2019-03-06,16.0,0.0,0.0,11.86,626,138
2019-03-07,23.0,0.0,0.0,6.04,606,137
2019-03-08,28.0,0.0,0.1,5.37,712,159
2019-03-09,33.0,0.56,0.0,14.09,616,155
2019-03-10,37.0,0.0,0.0,19.69,610,150
2019-03-11,32.0,0.0,0.0,9.62,699,136
2019-03-12,35.0,0.0,0.0,9.17,625,151
2019-03-13,45.0,0.54,0.0,11.86,688,169
2019-03-14,55.0,0.4,0.0,20.36,674,167
2019-03-15,38.0,0.0,0.0,14.99,735,167
2019-03-16,34.0,0.0,0.0,8.5,765,179
2019-03-17,35.0,0.0,0.0,7.61,610,144
2019-03-18,35.0,0.0,0.0,7.61,650,134
2019-03-19,39.0,0.0,0.0,7.83,637,158
2019-03-20,42.0,0.14,0.0,8.5,688,144
2019-03-21,40.0,0.0,0.0,11.18,688,160
2019-03-22,40.0,0.0,0.0,10.96,706,154
2019-03-23,36.0,0.0,0.0,4.47,690,185
