"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5"
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-01",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-02",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-03",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-04",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-05",,,,,"0.08",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-06",,,,,"0.64",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-07",,,,,"0.12",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-08",,,,,"0.00",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-09",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-10",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-11",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-12",,,,,"0.55",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-13",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-14",,,,,"1.24",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-15",,,,,"0.44",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-16",,,,,"0.57",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-17",,,,,"2.91",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-18",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-19",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-20",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-21",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-22",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-23",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-24",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-25",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-26",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-27",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-28",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-29",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-30",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-01-31",,,,,"1.06",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-01",,,,,"0.00",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-02",,,,,"3.05",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-03",,,,,"1.29",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-04",,,,,"0.73",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-05",,,,,"0.77",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-06",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-07",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-08",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-10",,"    2","0.59",,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-11",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-12",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-13",,,,,"0.04",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-14",,,,,"2.96",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-15",,,,,"0.20",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-16",,,,,"0.18",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-17",,,,,"0.06",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-18",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-19",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-20",,,,,"0.07",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-21",,,,,"0.02",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-22",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-23",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-24",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-25",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-26",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-27",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-02-28",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-01",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-02",,,,,"0.82",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-03",,,,,"0.15",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-04",,,,,"0.00",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-05",,,,,"0.00",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-06",,,,,"1.31",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-07",,,,,"0.07",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-08",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-09",,,,,"0.00",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-10",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-11",,,,,"0.00",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-12",,,,,"0.02",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-13",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-14",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-15",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-16",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-17",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-18",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-19",,,,,"0.00","0.0",,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-20",,,,,"0.37",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-21",,,,,"0.04",,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-03-22",,,,,"0.00","0.0",,,,,,,,,
